Journal,Title,Authors,Author_Information,Abstract,DOI,Misc
1. J Genet Couns. 2023 Jun 16. doi: 10.1002/jgc4.1738. Online ahead of print.,"Interventions to support decision making in people considering germline genetic 
testing for BRCA 1/2 pathogenic and likely pathogenic variants: A scoping 
review.","Pozzar RA(1), Seven M(2).","Author information:
(1)Phyllis F. Cantor Center for Research in Nursing and Patient Care Services, 
Dana-Farber Cancer Institute, Boston, Massachusetts, USA.
(2)Elaine Marieb College of Nursing, University of Massachusetts, Amherst, 
Massachusetts, USA.","Pathogenic and likely pathogenic variants in BRCA1 and BRCA2 (BRCA1/2) are 
medically actionable and may inform hereditary breast and ovarian cancer (HBOC) 
treatment and prevention. However, rates of germline genetic testing (GT) in 
people with and without cancer are suboptimal. Individuals' knowledge, 
attitudes, and beliefs may influence GT decisions. While genetic counseling (GC) 
provides decision support, the supply of genetic counselors is insufficient to 
meet demand. Accordingly, there is a need to explore the evidence on 
interventions that aim to support BRCA1/2 testing decisions. We conducted a 
scoping review of PubMed, CINAHL, Web of Science, and PsycINFO using search 
terms related to HBOC, GT, and decision making. First, we screened records to 
identify peer-reviewed reports that described interventions to support BRCA1/2 
testing decisions. Next, we reviewed full-text reports and excluded studies that 
lacked statistical comparisons or enrolled previously tested individuals. 
Finally, we extracted study characteristics and findings into a table. All 
records and reports were reviewed independently by two authors; decisions were 
tracked in Rayyan, and discrepancies were resolved through discussion. Of 2116 
unique citations, 25 met the eligibility criteria. Articles were published 
between 1997 and 2021 and described randomized trials and nonrandomized, 
quasi-experimental studies. Most studies tested technology-based (12/25, 48%) or 
written (9/25, 36%) interventions. Nearly half (12/25, 48%) of interventions 
were designed to complement traditional GC. Of the interventions compared to GC, 
75% (6/8) increased or had a noninferior effect on knowledge, and 67% (4/6) 
decreased or had a noninferior effect on decisional conflict. Intervention 
effects on GT uptake were mixed, which may reflect evolving eligibility criteria 
for GT. Our findings suggest novel interventions may promote informed GT 
decision making, but many were developed to complement traditional GC. Trials 
that assess the effects of decision support interventions in diverse samples and 
evaluate implementation strategies for efficacious interventions are warranted.",© 2023 National Society of Genetic Counselors.,"DOI: 10.1002/jgc4.1738
PMID: 37328917"
2. Hum Genomics. 2023 Jun 16;17(1):53. doi: 10.1186/s40246-023-00482-8.,"Evaluation of a genetic risk score computed using human chromosomal-scale length 
variation to predict breast cancer.","Ko C(1), Brody JP(2).","Author information:
(1)Department of Biomedical Engineering, University of California, Irvine, USA.
(2)Department of Biomedical Engineering, University of California, Irvine, USA. 
jpbrody@uci.edu.","INTRODUCTION: The ability to accurately predict whether a woman will develop 
breast cancer later in her life, should reduce the number of breast cancer 
deaths. Different predictive models exist for breast cancer based on family 
history, BRCA status, and SNP analysis. The best of these models has an accuracy 
(area under the receiver operating characteristic curve, AUC) of about 0.65. We 
have developed computational methods to characterize a genome by a small set of 
numbers that represent the length of segments of the chromosomes, called 
chromosomal-scale length variation (CSLV).
METHODS: We built machine learning models to differentiate between women who had 
breast cancer and women who did not based on their CSLV characterization. We 
applied this procedure to two different datasets: the UK Biobank (1534 women 
with breast cancer and 4391 women who did not) and the Cancer Genome Atlas 
(TCGA) 874 with breast cancer and 3381 without.
RESULTS: We found a machine learning model that could predict breast cancer with 
an AUC of 0.836 95% CI (0.830.0.843) in the UK Biobank data. Using a similar 
approach with the TCGA data, we obtained a model with an AUC of 0.704 95% CI 
(0.702, 0.706). Variable importance analysis indicated that no single 
chromosomal region was responsible for significant fraction of the model 
results.
CONCLUSION: In this retrospective study, chromosomal-scale length variation 
could effectively predict whether or not a woman enrolled in the UK Biobank 
study developed breast cancer.",© 2023. The Author(s).,"DOI: 10.1186/s40246-023-00482-8
PMID: 37328908"
3. BMC Surg. 2023 Jun 16;23(1):163. doi: 10.1186/s12893-023-02059-7.,"Laparoscopic surgery for rectal cancer, specimen extraction: transanal or 
transabdominal?","Shahabi F(1), Orafaie A(1), Ansari M(1), Moallem ZG(1), Mehri A(1), Moghadam 
MH(2), Roshanravan R(1), Abdollahi A(#)(3), Rasouli M(#)(4).","Author information:
(1)Endoscopic and Minimally Invasive Surgery research center, Mashhad University 
of Medical Sciences, Mashhad, Iran.
(2)Ghaem Hospital, Mashhad University of Medical Sciences, Mashhad, Iran.
(3)Endoscopic and Minimally Invasive Surgery research center, Mashhad University 
of Medical Sciences, Mashhad, Iran. abdollahia@mums.ac.ir.
(4)Department of Biostatistics, School of Public Health, Iran University of 
Medical Sciences, Tehran, Iran. mahrasouli@gmail.com.
(#)Contributed equally","BACKGROUND: Comparison of natural orifice specimen extraction (NOSE) and 
transabdominal specimen extraction (TASE) in colorectal surgery remains 
controversial. Herein, we aimed to perform a retrospective analysis on surgical 
outcomes of NOSE and TASE at three hospitals in east of Iran.
METHOD: Consecutive locally advanced rectal adenocarcinoma patients who 
underwent laparoscopic surgery using either NOSE or TASE from 2011 to 2017 were 
recruited. These patients were followed-up till 2020. Data, including 
postoperative complications, long-term overall and recurrence-free survival were 
analyzed retrospectively.
RESULTS: 239 eligible patients were included in this study. 169 (70.71%) 
patients underwent NOSE, and 70 (29.29%) patients underwent TASE. Although this 
study has achieved similar outcomes in terms of overall and recurrence-free 
survival, metastasis, circumferential margin involvement as well as 
complications of intra-operative bleeding, obstruction, anastomosis-fail, 
rectovaginal-fistula in women and pelvic collection/abscess in both groups, we 
observed higher rates of locoregional recurrence, incontinency, stenosis and the 
close distal margins involvement in NOSE group and also obstructed defecation 
syndrome in TASE cases.
CONCLUSION: According to our findings, NOSE laparoscopic surgery showed 
significantly higher incontinency, impotency, stenosis and involvement of the 
close distal margins rates. Nevertheless, considering the similarity of 
long-term overall and recurrence-free survival, metastasis, circumferential 
margin involvement, NOSE procedure is still could be considered as a second 
choice for lower rectal adenocarcinoma patients.",© 2023. The Author(s).,"DOI: 10.1186/s12893-023-02059-7
PMID: 37328902"
4. J Exp Clin Cancer Res. 2023 Jun 17;42(1):149. doi: 10.1186/s13046-023-02727-9.,"Biological roles of A-to-I editing: implications in innate immunity, cell death, 
and cancer immunotherapy.","Yuan J(#)(1), Xu L(2), Bao HJ(#)(1), Wang JL(1), Zhao Y(3), Chen S(4).","Author information:
(1)Department of Obstetrics and Gynecology, Department of Gynecologic Oncology 
Research Office, Guangzhou Key Laboratory of Targeted Therapy for Gynecologic 
Oncology, Guangdong Provincial Key Laboratory of Major Obstetric Diseases, The 
Third Affiliated Hospital of Guangzhou Medical University, No.63 Duobao Road, 
Liwan District, Guangzhou City, Guangdong Province, 510150, P. R. China.
(2)Department of Laboratory Medicine, The First Hospital of China Medical 
University, Shenyang, 110001, China.
(3)Department of Obstetrics and Gynecology, Department of Gynecologic Oncology 
Research Office, Guangzhou Key Laboratory of Targeted Therapy for Gynecologic 
Oncology, Guangdong Provincial Key Laboratory of Major Obstetric Diseases, The 
Third Affiliated Hospital of Guangzhou Medical University, No.63 Duobao Road, 
Liwan District, Guangzhou City, Guangdong Province, 510150, P. R. China. 
yida.zhaoyang@163.com.
(4)Department of Obstetrics and Gynecology, Department of Gynecologic Oncology 
Research Office, Guangzhou Key Laboratory of Targeted Therapy for Gynecologic 
Oncology, Guangdong Provincial Key Laboratory of Major Obstetric Diseases, The 
Third Affiliated Hospital of Guangzhou Medical University, No.63 Duobao Road, 
Liwan District, Guangzhou City, Guangdong Province, 510150, P. R. China. 
chenshuo077003@163.com.
(#)Contributed equally","Adenosine-to-inosine (A-to-I) editing, a key RNA modification widely found in 
eukaryotes, is catalyzed by adenosine deaminases acting on RNA (ADARs). Such RNA 
editing destabilizes endogenous dsRNAs, which are subsequently recognized by the 
sensors of innate immune and other proteins as autologous dsRNAs. This prevents 
the activation of innate immunity and type I interferon-mediated responses, 
thereby reducing the downstream cell death induced by the activation of the 
innate immune sensing system. ADARs-mediated editing can also occur in mRNAs and 
non-coding RNAs (ncRNAs) in different species. In mRNAs, A-to-I editing may lead 
to missense mutations and the selective splicing of coding regions. Meanwhile, 
in ncRNAs, A-to-I editing may affect targeting and disrupt ncRNAs maturation, 
leading to anomalous cell proliferation, invasion, and responses to 
immunotherapy. This review highlights the biological functions of A-to-I 
editing, its role in regulating innate immunity and cell death, and its 
potential molecular significance in tumorigenesis and cancer targeted therapy 
and immunotherapy.",© 2023. The Author(s).,"DOI: 10.1186/s13046-023-02727-9
PMID: 37328893"
5. Pilot Feasibility Stud. 2023 Jun 16;9(1):100. doi: 10.1186/s40814-023-01325-y.,"Safety and tolerability study of sotrovimab (VIR-7831) prophylaxis against 
COVID-19 infection in immunocompromised individuals with impaired SARS-CoV-2 
humoral immunity.","Gonzalez-Bocco IH(#)(1)(2)(3), Beluch K(#)(4)(5), Cho A(4)(5), Lahoud 
C(4)(5)(6), Reyes FA(4)(5)(6), Moshovitis DG(4)(5), Unger-Mochrie GM(5), Wang 
W(6)(7), Hammond SP(4)(6)(8), Manne-Goehler J(#)(5)(6)(8), Koo S(#)(9)(10)(11).","Author information:
(1)Division of Infectious Disease, Dana-Farber Cancer Institute, Boston, MA, 
USA. Isabel_gonzalez-bocco@dfci.harvard.edu.
(2)Division of Infectious Disease, Brigham and Women's Hospital, Boston, MA, 
USA. Isabel_gonzalez-bocco@dfci.harvard.edu.
(3)Harvard Medical School, Boston, MA, USA. 
Isabel_gonzalez-bocco@dfci.harvard.edu.
(4)Division of Infectious Disease, Dana-Farber Cancer Institute, Boston, MA, 
USA.
(5)Division of Infectious Disease, Brigham and Women's Hospital, Boston, MA, 
USA.
(6)Harvard Medical School, Boston, MA, USA.
(7)Medicine Department, Brigham and Women's Hospital, Boston, MA, USA.
(8)Division of Infectious Disease, Massachusetts General Hospital, Boston, MA, 
USA.
(9)Division of Infectious Disease, Dana-Farber Cancer Institute, Boston, MA, 
USA. skoo@bwh.harvard.edu.
(10)Division of Infectious Disease, Brigham and Women's Hospital, Boston, MA, 
USA. skoo@bwh.harvard.edu.
(11)Harvard Medical School, Boston, MA, USA. skoo@bwh.harvard.edu.
(#)Contributed equally","BACKGROUND: Multiple vaccines have been approved since August 2021 to prevent 
infection with SARS-CoV-2; however, 20-40% of immunocompromised people fail to 
develop SARS-CoV-2 spike antibodies after COVID-19 vaccination and remain at 
high risk of infection and more severe illness than non-immunocompromised hosts. 
Sotrovimab (VIR-7831) is a monoclonal neutralizing antibody that binds a 
conserved epitope on the SARS-CoV-2 spike protein. It is neither renally 
excreted nor metabolized by P450 enzymes and therefore unlikely to interact with 
concomitant medications (e.g., immunosuppressive medications). In this 
open-label feasibility study protocol, we will define the optimal dose and 
dosing interval of sotrovimab as pre-exposure prophylaxis for immunocompromised 
individuals as well as its safety and tolerability in this population 
specifically.
METHODS: We will enroll 93 eligible immunocompromised adults with a negative or 
low-positive (< 50 U/mL) SARS-CoV-2 spike antibody. In phase 1, the first 10 
patients will participate in a lead-in pharmacokinetics (PK) cohort study to 
determine the optimal dosing interval. Phase 2 will expand this population to 50 
participants to examine rates of infusion-related reactions (IRR) with a 30-min 
500 mg sotrovimab IV infusion. Phase 3 will be an expansion cohort for further 
assessment of the safety and tolerability of sotrovimab. In phase 4, the first 
10 patients receiving 2000 mg IV of sotrovimab on the second sotrovimab infusion 
day will comprise a lead-in safety cohort that will inform the duration of 
observation following administration of the drug. The patients will be followed 
for safety and COVID-19 events for 36 weeks after the second dose.
DISCUSSION: In a previous phase III randomized, placebo-controlled pivotal 
trial, there were no significant differences in the prevalence of adverse events 
in patients receiving sotrovimab vs. placebo. Thus, we propose an open-label 
feasibility study protocol of sotrovimab as pre-exposure prophylaxis for 
immunocompromised individuals to evaluate its PK in immunocompromised 
individuals with impaired SARS-CoV-2 humoral immunity and define optimal dosing 
intervals. We also aim to determine COVID-19 infections over the study period 
and self-reported quality of life measures throughout the study.
TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT05210101.",© 2023. The Author(s).,"DOI: 10.1186/s40814-023-01325-y
PMID: 37328890"
"6. Acta Neuropathol Commun. 2023 Jun 16;11(1):96. doi:
10.1186/s40478-023-01586-x.","Comprehensive profiling of stem-like features in pediatric glioma cell cultures 
and their relation to the subventricular zone.","Da-Veiga MA(1), Coppieters N(1), Lombard A(1)(2), Rogister B(1)(3), Neirinckx 
V(#)(1), Piette C(#)(4)(5).","Author information:
(1)Laboratory of Nervous System Diseases and Therapy, GIGA Neuroscience, GIGA 
Institute, University of Liège, Liège, Belgium.
(2)Department of Neurosurgery, CHU Liège, Liège, Belgium.
(3)Department of Neurology, CHU Liège, Liège, Belgium.
(4)Laboratory of Nervous System Diseases and Therapy, GIGA Neuroscience, GIGA 
Institute, University of Liège, Liège, Belgium. caroline.piette@chuliege.be.
(5)Department of Pediatrics, Division of Hematology-Oncology, CHU Liège, Liège, 
Belgium. caroline.piette@chuliege.be.
(#)Contributed equally","Pediatric high-grade gliomas (pHGG) are brain tumors occurring in children and 
adolescents associated with a dismal prognosis despite existing treatments. 
Therapeutic failure in both adult and pHGG has been partially imputed to glioma 
stem cells (GSC), a subset of cancer cells endowed with stem-like cell potential 
and malignant, invasive, adaptative, and treatment-resistant capabilities. 
Whereas GSC have largely been portrayed in adult tumors, less information has 
been provided in pHGG. The aim of our study was to comprehensively document the 
stem-like capacities of seven in-use pediatric glioma cell cultures (Res259, 
UW479, SF188, KNS42, SF8628, HJSD-DIPG-007 and HJSD-DIPG-012) using parallel in 
vitro assays assessing stem cell-related protein expression, multipotency, 
self-renewal and proliferation/quiescence, and in vivo investigation of their 
tumorigenicity and invasiveness. Data obtained from in vitro experiments 
revealed glioma subtype-dependent expression of stem cell-related markers and 
varying abilities for differentiation, self-renewal, and 
proliferation/quiescence. Among tested cultures, DMG H3-K27 altered cultures 
displayed a particular pattern of stem-like markers expression and a higher 
fraction of cells with self-renewal potential. Four cultures displaying 
distinctive stem-like profiles were further tested for their ability to initiate 
tumors and invade the brain tissue in mouse orthotopic xenografts. The selected 
cell cultures all showed a great tumor formation capacity, but only DMG H3-K27 
altered cells demonstrated a highly infiltrative phenotype. Interestingly, we 
detected DMG H3-K27 altered cells relocated in the subventricular zone (SVZ), 
which has been previously described as a neurogenic area, but also a potential 
niche for brain tumor cells. Finally, we observed an SVZ-induced phenotypic 
modulation of the glioma cells, as evidenced by their increased proliferation 
rate. In conclusion, this study recapitulated a systematic stem-like profiling 
of various pediatric glioma cell cultures and call to a deeper characterization 
of DMG H3-K27 altered cells nested in the SVZ.",© 2023. The Author(s).,"DOI: 10.1186/s40478-023-01586-x
PMID: 37328883"
7. BMC Med Genomics. 2023 Jun 16;16(1):135. doi: 10.1186/s12920-023-01554-3.,Identification of miR-143-3p as a diagnostic biomarker in gastric cancer.,"Ju Y(#)(1)(2), Choi GE(#)(2), Lee MW(3)(4), Jeong M(2), Kwon H(2), Kim DH(2), 
Kim J(2), Jin H(2), Lee KE(2), Hyun KY(#)(5), Jang A(#)(6).","Author information:
(1)Medical Science Research Center, Pusan National University, Yangsan, 50612, 
Republic of Korea.
(2)Department of Clinical Laboratory Science, College of Health Sciences, 
Catholic University of Pusan, Busan, 46252, Republic of Korea.
(3)Division of Gastroenterology, Pusan National University Hospital, Busan, 
49241, Republic of Korea.
(4)Department of Internal Medicine, Pusan National University College of 
Medicine, Busan, 49241, Republic of Korea.
(5)Department of Clinical Laboratory Science, Dong-Eui University, Busan, 47340, 
Republic of Korea. kyhyun@deu.ac.kr.
(6)Department of Nursing, University of Ulsan, Ulsan, 44610, Republic of Korea. 
aeleejang@ulsan.ac.kr.
(#)Contributed equally","BACKGROUND: Gastric cancer (GC) is among the most common types of 
gastrointestinal cancers and has a high incidence and mortality around the 
world. To suppress the progression of GC, it is essential to develop diagnostic 
markers. MicroRNAs regulate GC development, but a clearer insight into their 
role is needed before they can be applied as a molecular markers and targets.
METHODS: In this study, we assessed the diagnostic value of differentially 
expressed microRNAs as potential diagnostic biomarkers for GC using data for 389 
tissue samples from the Cancer Genome Atlas (TCGA) and 21 plasma samples from GC 
patients.
RESULTS: The expression of hsa-miR-143-3p (also known as hsa-miR-143) was 
significantly downregulated in GC according to the TCGA data and plasma samples. 
The 228 potential target genes of hsa-miR-143-3p were analyzed using a 
bioinformatics tool for miRNA target prediction. The target genes correlated 
with extracellular matrix organization, the cytoplasm, and identical protein 
binding. Furthermore, the pathway enrichment analysis of target genes showed 
that they were involved in pathways in cancer, the phosphoinositide 3-kinase 
(PI3K)-protein kinase B (Akt) signaling pathway, and proteoglycans in cancer. 
The hub genes in the protein-protein interaction (PPI) network, were matrix 
metallopeptidase 2 (MMP2), CD44 molecule (CD44), and SMAD family member 3 
(SMAD3).
CONCLUSIONS: This study suggests that hsa-miR-143-3p may be used as a diagnostic 
marker for GC, contributing via the pathways involved in the development of GC.",© 2023. The Author(s).,"DOI: 10.1186/s12920-023-01554-3
PMID: 37328880"
8. Cell Commun Signal. 2023 Jun 16;21(1):143. doi: 10.1186/s12964-023-01129-w.,The role of tumor microenvironment on cancer stem cell fate in solid tumors.,"Razi S(1), Haghparast A(2), Chodari Khameneh S(1), Ebrahimi Sadrabadi A(3)(4), 
Aziziyan F(5)(6), Bakhtiyari M(6)(7), Nabi-Afjadi M(5), Tarhriz V(8), Jalili 
A(9)(10), Zalpoor H(11)(12).","Author information:
(1)Vira Pioneers of Modern Science (VIPOMS), Tehran, Iran.
(2)GenomeFan, Tehran, Iran.
(3)Department of Stem Cells and Developmental Biology, Cell Science Research 
Center, Royan Institute for Stem Cell Biology and Technology, ACER, Tehran, 
Iran.
(4)Cytotech and Bioinformatics Research Group, Tehran, Iran.
(5)Department of Biochemistry, Faculty of Biological Sciences, Tarbiat Modares 
University, Tehran, Iran.
(6)Network of Immunity in Infection, Malignancy & Autoimmunity (NIIMA), 
Universal Scientific Education & Research Network (USERN), Tehran, Iran.
(7)Department of Medical Laboratory Sciences, Faculty of Allied Medicine, Qazvin 
University of Medical Sciences, Qazvin, Iran.
(8)Infectious and Tropical Diseases Research Center, Tabriz University of 
Medical Sciences, P.O. Box 5163639888, Tabriz, Iran. t.tarhriz@yahoo.com.
(9)Department of Stem Cells and Developmental Biology, Cell Science Research 
Center, Royan Institute for Stem Cell Biology and Technology, ACER, Tehran, 
Iran. Jalili.arsalan@yahoo.com.
(10)Parvaz Research Ideas Supporter Institute, Tehran, Iran. 
Jalili.arsalan@yahoo.com.
(11)Network of Immunity in Infection, Malignancy & Autoimmunity (NIIMA), 
Universal Scientific Education & Research Network (USERN), Tehran, Iran. 
hamidreza.zlpr1998@gmail.com.
(12)Shiraz Neuroscience Research Center, Shiraz University of Medical Sciences, 
Shiraz, Iran. hamidreza.zlpr1998@gmail.com.","In the last few decades, the role of cancer stem cells in initiating tumors, 
metastasis, invasion, and resistance to therapies has been recognized as a 
potential target for tumor therapy. Understanding the mechanisms by which CSCs 
contribute to cancer progression can help to provide novel therapeutic 
approaches against solid tumors. In this line, the effects of mechanical forces 
on CSCs such as epithelial-mesenchymal transition, cellular plasticity, etc., 
the metabolism pathways of CSCs, players of the tumor microenvironment, and 
their influence on the regulating of CSCs can lead to cancer progression. This 
review focused on some of these mechanisms of CSCs, paving the way for a better 
understanding of their regulatory mechanisms and developing platforms for 
targeted therapies. While progress has been made in research, more studies will 
be required in the future to explore more aspects of how CSCs contribute to 
cancer progression. Video Abstract.",© 2023. The Author(s).,"DOI: 10.1186/s12964-023-01129-w
PMID: 37328876"
9. Virol J. 2023 Jun 16;20(1):125. doi: 10.1186/s12985-023-02069-0.,Role and clinical implication of autophagy in COVID-19.,"Shan T(#)(1)(2), Li LY(#)(1)(2), Yang JM(3), Cheng Y(4)(5).","Author information:
(1)Department of Pharmacy, The Second Xiangya Hospital, Central South 
University, Changsha, 410011, China.
(2)Hunan Provincial Engineering Research Centre of Translational Medicine and 
Innovative Drug, Changsha, 410011, China.
(3)Department of Toxicology and Cancer Biology, Department of Pharmacology, and 
Markey Cancer Center, University of Kentucky, Lexington, KY, 40536, USA. 
jyang@uky.edu.
(4)Department of Pharmacy, The Second Xiangya Hospital, Central South 
University, Changsha, 410011, China. yancheng@csu.edu.cn.
(5)Hunan Provincial Engineering Research Centre of Translational Medicine and 
Innovative Drug, Changsha, 410011, China. yancheng@csu.edu.cn.
(#)Contributed equally","The ongoing coronavirus disease 2019 (COVID-19) pandemic constitutes a serious 
public health concern worldwide. Currently, more than 6 million deaths have 
occurred despite drastic containment measures, and this number is still 
increasing. Currently, no standard therapies for COVID-19 are available, which 
necessitates identifying effective preventive and therapeutic agents against 
COVID-19. However, developing new drugs and vaccines is a time-consuming 
process, and therefore, repurposing the existing drugs or redeveloping related 
targets seems to be the best strategy to develop effective therapeutics against 
COVID-19. Autophagy, a multistep lysosomal degradation pathway contributing to 
nutrient recycling and metabolic adaptation, is involved in the initiation and 
progression of numerous diseases as a part of an immune response. The key role 
of autophagy in antiviral immunity has been extensively studied. Moreover, 
autophagy can directly eliminate intracellular microorganisms by selective 
autophagy, that is, ""xenophagy."" However, viruses have acquired diverse 
strategies to exploit autophagy for their infection and replication. This review 
aims to trigger the interest in the field of autophagy as an antiviral target 
for viral pathogens (with an emphasis on COVID-19). We base this hypothesis on 
summarizing the classification and structure of coronaviruses as well as the 
process of SARS-CoV-2 infection and replication; providing the common 
understanding of autophagy; reviewing interactions between the mechanisms of 
viral entry/replication and the autophagy pathways; and discussing the current 
state of clinical trials of autophagy-modifying drugs in the treatment of 
SARS-CoV-2 infection. We anticipate that this review will contribute to the 
rapid development of therapeutics and vaccines against COVID-19.",© 2023. The Author(s).,"DOI: 10.1186/s12985-023-02069-0
PMID: 37328875"
10. J Nanobiotechnology. 2023 Jun 16;21(1):195. doi: 10.1186/s12951-023-01942-y.,"Mesenchymal stem cell-derived exosomal miR-27b-3p alleviates liver fibrosis via 
downregulating YAP/LOXL2 pathway.","Cheng F(1)(2), Yang F(1)(2), Wang Y(1)(2), Zhou J(3)(4), Qian H(2)(3), Yan 
Y(5)(6)(7).","Author information:
(1)Department of Laboratory Medicine, Wujin Hospital Affiliated with Jiangsu 
University, Jiangsu University, Changzhou, 213017, China.
(2)Key Laboratory of Laboratory Medicine of Jiangsu Province, School of 
Medicine, Jiangsu University, Zhenjiang, 212001, China.
(3)Changzhou Key Laboratory of Molecular Diagnostics and Precision Cancer 
Medicine, Wujin Hospital Affiliated with Jiangsu University, Changzhou, 213017, 
China.
(4)Wujin Institute of Molecular Diagnostics and Precision Cancer Medicine of 
Jiangsu University (Wujin Clinical College of Xuzhou Medical University), 
Changzhou, 213017, China.
(5)Department of Laboratory Medicine, Wujin Hospital Affiliated with Jiangsu 
University, Jiangsu University, Changzhou, 213017, China. yym@wjrmyy.cn.
(6)Changzhou Key Laboratory of Molecular Diagnostics and Precision Cancer 
Medicine, Wujin Hospital Affiliated with Jiangsu University, Changzhou, 213017, 
China. yym@wjrmyy.cn.
(7)Wujin Institute of Molecular Diagnostics and Precision Cancer Medicine of 
Jiangsu University (Wujin Clinical College of Xuzhou Medical University), 
Changzhou, 213017, China. yym@wjrmyy.cn.","Lysyl oxidase-like 2 (LOXL2) is an extracellular copper-dependent enzyme that 
plays a central role in fibrosis by catalyzing the crosslinking and deposition 
of collagen. Therapeutic LOXL2 inhibition has been shown to suppress liver 
fibrosis progression and promote its reversal. This study investigates the 
efficacy and underlying mechanisms of human umbilical cord-derived exosomes 
(MSC-ex) in LOXL2 inhibition of liver fibrosis. MSC-ex, nonselective LOX 
inhibitor β-aminopropionitrile (BAPN), or PBS were administered into carbon 
tetrachloride (CCl4)-induced fibrotic livers. Serum LOXL2 and collagen 
crosslinking were assessed histologically and biochemically. MSC-ex's mechanisms 
on LOXL2 regulation were investigated in human hepatic stellate cell line LX-2. 
We found that systemic administration of MSC-ex significantly reduced LOXL2 
expression and collagen crosslinking, delaying the progression of CCl4-induced 
liver fibrosis. Mechanically, RNA-sequencing and fluorescence in situ 
hybridization (FISH) indicated that miR-27b-3p was enriched in MSC-ex and 
exosomal miR-27b-3p repressed Yes-associated protein (YAP) expression by 
targeting its 3' untranslated region in LX-2. LOXL2 was identified as a novel 
downstream target gene of YAP, and YAP bound to the LOXL2 promoter to positively 
regulate transcription. Additionally, the miR-27b-3p inhibitor abrogated the 
anti-LOXL2 abilities of MSC-ex and diminished the antifibrotic efficacy. 
miR-27b-3p overexpression promoted MSC-ex mediated YAP/LOXL2 inhibition. Thus, 
MSC-ex may suppress LOXL2 expression through exosomal miR-27b-3p mediated YAP 
down-regulation. The findings here may improve our understanding of MSC-ex in 
liver fibrosis alleviation and provide new opportunities for clinical treatment.",© 2023. The Author(s).,"DOI: 10.1186/s12951-023-01942-y
PMID: 37328872"
